"Statistic Label","Year","Source of Tax Funds","UNIT","VALUE"
"Corporation Tax (D51B)","2005","General Government - Total (S.13)","€milllion","5503.24"
"Corporation Tax (D51B)","2005","General Government - Central Government (S.1311)","€milllion","5503.24"
"Corporation Tax (D51B)","2005","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2005","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2005","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2006","General Government and Rest of World  (S.13+S.212)","€milllion","6684.61"
"Corporation Tax (D51B)","2006","General Government - Total (S.13)","€milllion","6684.61"
"Corporation Tax (D51B)","2006","General Government - Central Government (S.1311)","€milllion","6684.61"
"Corporation Tax (D51B)","2006","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2006","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2006","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2007","General Government and Rest of World  (S.13+S.212)","€milllion","6393.39"
"Corporation Tax (D51B)","2007","General Government - Total (S.13)","€milllion","6393.39"
"Corporation Tax (D51B)","2007","General Government - Central Government (S.1311)","€milllion","6393.39"
"Corporation Tax (D51B)","2007","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2007","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2007","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2008","General Government and Rest of World  (S.13+S.212)","€milllion","5071.45"
"Corporation Tax (D51B)","2008","General Government - Total (S.13)","€milllion","5071.45"
"Corporation Tax (D51B)","2008","General Government - Central Government (S.1311)","€milllion","5071.45"
"Corporation Tax (D51B)","2008","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2008","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2008","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2009","General Government and Rest of World  (S.13+S.212)","€milllion","3889.46"
"Corporation Tax (D51B)","2009","General Government - Total (S.13)","€milllion","3889.46"
"Corporation Tax (D51B)","2009","General Government - Central Government (S.1311)","€milllion","3889.46"
"Corporation Tax (D51B)","2009","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2009","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2009","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2010","General Government and Rest of World  (S.13+S.212)","€milllion","3943.6"
"Corporation Tax (D51B)","2010","General Government - Total (S.13)","€milllion","3943.6"
"Corporation Tax (D51B)","2010","General Government - Central Government (S.1311)","€milllion","3943.6"
"Corporation Tax (D51B)","2010","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2010","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2010","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2011","General Government and Rest of World  (S.13+S.212)","€milllion","3751.38"
"Corporation Tax (D51B)","2011","General Government - Total (S.13)","€milllion","3751.38"
"Corporation Tax (D51B)","2011","General Government - Central Government (S.1311)","€milllion","3751.38"
"Corporation Tax (D51B)","2011","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2011","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2011","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2012","General Government and Rest of World  (S.13+S.212)","€milllion","3963.74"
"Corporation Tax (D51B)","2012","General Government - Total (S.13)","€milllion","3963.74"
"Corporation Tax (D51B)","2012","General Government - Central Government (S.1311)","€milllion","3963.74"
"Corporation Tax (D51B)","2012","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2012","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2012","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2013","General Government and Rest of World  (S.13+S.212)","€milllion","4272.23"
"Corporation Tax (D51B)","2013","General Government - Total (S.13)","€milllion","4272.23"
"Corporation Tax (D51B)","2013","General Government - Central Government (S.1311)","€milllion","4272.23"
"Corporation Tax (D51B)","2013","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2013","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2013","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2014","General Government and Rest of World  (S.13+S.212)","€milllion","4616.88"
"Corporation Tax (D51B)","2014","General Government - Total (S.13)","€milllion","4616.88"
"Corporation Tax (D51B)","2014","General Government - Central Government (S.1311)","€milllion","4616.88"
"Corporation Tax (D51B)","2014","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2014","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2014","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2015","General Government and Rest of World  (S.13+S.212)","€milllion","6871.77"
"Corporation Tax (D51B)","2015","General Government - Total (S.13)","€milllion","6871.77"
"Corporation Tax (D51B)","2015","General Government - Central Government (S.1311)","€milllion","6871.77"
"Corporation Tax (D51B)","2015","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2015","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2015","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2016","General Government and Rest of World  (S.13+S.212)","€milllion","7351.71"
"Corporation Tax (D51B)","2016","General Government - Total (S.13)","€milllion","7351.71"
"Corporation Tax (D51B)","2016","General Government - Central Government (S.1311)","€milllion","7351.71"
"Corporation Tax (D51B)","2016","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2016","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2016","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2017","General Government and Rest of World  (S.13+S.212)","€milllion","8201.43"
"Corporation Tax (D51B)","2017","General Government - Total (S.13)","€milllion","8201.43"
"Corporation Tax (D51B)","2017","General Government - Central Government (S.1311)","€milllion","8201.43"
"Corporation Tax (D51B)","2017","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2017","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2017","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2018","General Government and Rest of World  (S.13+S.212)","€milllion","10386.58948"
"Corporation Tax (D51B)","2018","General Government - Total (S.13)","€milllion","10386.58948"
"Corporation Tax (D51B)","2018","General Government - Central Government (S.1311)","€milllion","10386.58948"
"Corporation Tax (D51B)","2018","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2018","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2018","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2019","General Government and Rest of World  (S.13+S.212)","€milllion","10887.3"
"Corporation Tax (D51B)","2019","General Government - Total (S.13)","€milllion","10887.3"
"Corporation Tax (D51B)","2019","General Government - Central Government (S.1311)","€milllion","10887.3"
"Corporation Tax (D51B)","2019","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2019","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2019","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2020","General Government and Rest of World  (S.13+S.212)","€milllion","11952.78"
"Corporation Tax (D51B)","2020","General Government - Total (S.13)","€milllion","11952.78"
"Corporation Tax (D51B)","2020","General Government - Central Government (S.1311)","€milllion","11952.78"
"Corporation Tax (D51B)","2020","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2020","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2020","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2021","General Government and Rest of World  (S.13+S.212)","€milllion","15323.11815"
"Corporation Tax (D51B)","2021","General Government - Total (S.13)","€milllion","15323.11815"
"Corporation Tax (D51B)","2021","General Government - Central Government (S.1311)","€milllion","15323.11815"
"Corporation Tax (D51B)","2021","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2021","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2021","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2022","General Government and Rest of World  (S.13+S.212)","€milllion","22644.93"
"Corporation Tax (D51B)","2022","General Government - Total (S.13)","€milllion","22644.93"
"Corporation Tax (D51B)","2022","General Government - Central Government (S.1311)","€milllion","22644.93"
"Corporation Tax (D51B)","2022","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2022","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2022","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2023","General Government and Rest of World  (S.13+S.212)","€milllion","23838"
"Corporation Tax (D51B)","2023","General Government - Total (S.13)","€milllion","23838"
"Corporation Tax (D51B)","2023","General Government - Central Government (S.1311)","€milllion","23838"
"Corporation Tax (D51B)","2023","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2023","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2023","Rest of World (S.212)","€milllion",""
"Credit Institutions Resolution Fund (D29H)","1995","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Credit Institutions Resolution Fund (D29H)","1995","General Government - Total (S.13)","€milllion","0"
"Credit Institutions Resolution Fund (D29H)","1995","General Government - Central Government (S.1311)","€milllion","0"
"Credit Institutions Resolution Fund (D29H)","1995","General Government - Local Government (S.1313)","€milllion",""
"Credit Institutions Resolution Fund (D29H)","1995","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Credit Institutions Resolution Fund (D29H)","1995","Rest of World (S.212)","€milllion",""
